ita@x it
eżkach@x eżek
gesom@x ges
epach@a epa
erzowi@x erz
olmy@x olm
sikami@x sik
rańce@x raniec
tytach@x tyt
mitach@x mit
nach@o no
metowi@x met
aicie@a aita
wu@x wus
bkami@a bka
ogą@a oga
niem@o nio
cikiem@x cik
uby@a uba
aiści@a aista
tom@a ta
dyce@a dyka
rno@o rno
nitu@x nit
eżach@e eże
rnkiem@x rnek
alowi@x al
zędowi@x ząd
izgom@x izg
oje ój
łtce@a łtka
opniom@x opień
holach@x hol
trojach@x trój
brom@o bro
oki@a oka
epcem@x epiec
ogi@a oga
jnu@x jn
yłom@a yła
eni@e enie
latu@x lat
rmę@a rma
zyby@x zyb
ypie@x yp
dayach@y day
laya@y lay
owemu@y owy
olfom@x olf
ordowi@x ord
iusowi@x ius
ąbkom@x ąbek
łosie@x łos
terach@x ter
dan@x dan
rądem@x rąd
tyku@x tyk
osę@a osa
obom ób
llowi@x ll
lemu@x lem
rodu@x ród
zię@a zia
ńce niec
obów@x ob
ryżowi@x ryż
kowów@w ków
kin@o kino
fitem@x fit
awd@a awda
aczami@x acz
anami@o ano
pelowi@x pel
enach@a ena
pedów@x ped
wrów@x wr
obami ób
lagami@x lag
nimów@x nim
zek@x zek
ylek@a ylka
idrze@x ider
piści@a pista
dee@a dea
iosu@x ios
frach@a fra
eę@y ey
ntu@x nt
canom@x can
mikowi@x mik
atem@o ato
dlom@e dle
rzowy@w rzów
ryba@x ryb
rama@x ram
lagów@x lag
ostach@x ost
łok@x łok
gam@x gam
kaju@x kaj
ztę@a zta
widzie@x wid
ekt@x ekt
ldem@x ld
palowi@x pal
rro@a rra
erbów@x erb
iłkami@x iłek
zyw@o zywo
gon@a gona
rbcom@x rbiec
yfie@x yf
rzą@a rza
upkom@x upek
cjami@e cje
nsśnie@x nssen
cza@e cze
nocom@x noc
ułom@y uły
lańcach@x laniec
lah@x lah
nogu@x nóg
ońcem@x oniec
szkowie@x szek
zerach@x zer
zerowi@x zer
emom@a ema
hału@x hał
kslów@x ksel
dakiem@x dak
zykom@x zyk
iga@x ig
mężom@x mąż
lami@e le
jocie@x jot
lsie@a lsa
iona@x ion
gaz@x gaz
upami@a upa
rabie@x rab
wodowi@x wód
iów@e ie
butem@x but
cydem@x cyd
jerami@x jer
nelu@x nel
nksami@x nks
asom@y asy
abo@a aba
iszowi@x isz
doku@x dok
ykach@x yk
efie@x ef
łąbami@x łąb
mańcu@x maniec
utu@x ut
ukrowi@x ukier
ówek@a ówka
cerami@x cer
pasie@x pas
ogi óg
siąt@x się
yngach@x yng
mutom@x mut
oca@a oca
chwią@w chew
rem@x rem
elkowie@x elek
drowi@x der
łazów@x łaz
tani@x tan
gety@x get
tażami@x taż
dcach@a dca
ąga@x ąg
ort@a orta
iwcom@x iwiec
iamowi@x iam
nnę@a nna
ieki@x iek
zdach@x zd
wańcze@x waniec
rda@x rd
ntę@a nta
łłów@a łła
ogom@a oga
mir@x mir
roty@x rót
pci@x peć
gwę@a gwa
gamów@x gam
ven@x ven
ąc@x ąc
zchu@x zch
wigiem@x wig
sańcami@x saniec
bko@a bka
źniów zień
iję@a ija
zusa@x zus
ldze@a lga
ikom@x ik
rasom@x ras
kosiem@x koś
aziach@x aź
ułom@a uła
zanami@x zan
lepach@x lep
chodami@x chód
szom@e sze
wikom@x wik
okach@o oko
wno@o wno
rub@a ruba
korów@x kor
ruz@x ruz
tra@x ter
acz@x acz
zewów@w zew
ssnu@x ssen
amsom@x ams
yw@o ywo
lubach@x lub
cuzem@x cuz
óla@x ól
cesom@x ces
ętom ę
cja@a cja
korach@x kor
mnom@a mna
nowach@w nów
etach@a eta
cakami@x cak
ofowi@x of
cku@o cko
wary@x war
ślom@x śl
żykiem@x żyk
fitach@x fit
donach@x don
ile@x il
chy@a cha
dasiom@x daś
bot@x bot
ltach@x lt
żetowi@x żet
mżę@a mża
ltrach@x ltr
unkami@x unek
idzowi@x idz
tami@a ta
einem@x ein
ózkami@x ózek
zolom@x zol
cinach@x cin
kuty@x kut
ary@y ary
pażach@x paż
dżu@x dż
banami@x ban
bzami@a bza
desowie@x des
irtów@x irt
uele@x uel
ńka@o ńko
eble@o ebło
ant@a anta
źców@a źca
pskom@x psk
ążę@x ążę
ndę@a nda
hlę@a hla
ieł@x ieł
ant@x ant
nzą@a nza
panowi@x pan
ogowi@x og
ątku@x ątek
łykiem@x łyk
zepom@x zep
rzędu@x rząd
enie@a ena
ra@x rum
rogami@x róg
aście a
rejów@x rej
mon@o mono
omą@a oma
oenem@x oen
ogom óg
afami@x af
bykiem@x byk
okole@x okół
jo@o jo
ssem@x ss
anów@y any
gusia@x guś
źbą@a źba
sę@a sa
rmom@a rma
bru@o bro
lusa@x lus
ons@x ons
ołu@o oło
rzowem@w rzów
olt@x olt
etom@y ety
kcie@x kt
emkowi@x emek
elach@x el
ter@o tro
nimowi@x nim
kańcze@x kaniec
pusy@x pus
akowie@w aków
ynu@x yn
matem@x mat
lańca@x laniec
emą@a ema
arach@y ary
pirów@x pir
and@a anda
iądowi@x iąd
ozy óz
oidem@x oid
dylom@x dyl
rabowi@x rab
lli@e lle
ersa@x ers
samu@x sam
gańców@x ganiec
lexowi@x lex
sorem@x sor
pii@a pia
upnie@x upień
rytom@x ryt
rchach@x rch
zw@a zwa
ary@a ara
usy@x us
howiach@w hów
myśle@x mysł
ądka@x ądek
ab@a aba
niąt@x nię
demie@x dem
urmów@x urm
wotowi@x wot
rkowowi@w rków
ips@x ips
ew@o ewo
jdów@a jda
ę a
zmu@x zm
iękowi@x ięk
tylach@x tyl
uicie@a uita
lis@a lisa
tosie@x tos
arek@a arka
nokach@x nok
dolach@x dol
śćca@x ściec
ęźniowie@x ęzień
rr@a rra
isowi@x is
ięciem@x ię
ralów@x ral
azkom@x azek
ziom@a zia
nenach@x nen
dejach@x dej
zołami@x zoł
etkowi@x etek
untami@x unt
msu@x ms
ryżu@x ryż
cuza@x cuz
pisami@x pis
pan@x pan
zowa@w zów
sydzie@x syd
izgowi@x izg
iole@x iol
iole@x ioł
mów@x mum
ęgli@x ęgiel
bekach@x bek
jm@x jm
maku@x mak
erce@a erka
ców@x ciec
ieć@x ieć
tawowi@w taw
okami@a oka
kaje@x kaj
azie@a aza
lig@x lig
dno@o dno
esy@a esa
dylami@x dyl
zędy@x ząd
aściami@x aść
płach@o pło
pów@y py
wkami@x wek
łusem@x łus
dokiem@x dok
sykiem@x syk
relowi@x rel
urtami@x urt
uktami@x ukt
biorze@x biór
os@a osa
zesi@x zes
lbę@a lba
ron@o rono
bach@a ba
ulcze@x ulec
ycach@a yca
ungi@x ung
owy@y owy
ykcie@x ykt
oba@x ob
ebli@x ebel
mpach@a mpa
enku@x enek
ulkom@x ulek
zchach@x zch
ubach@x ub
nesów@x nes
hoł@x hoł
eną@a ena
ywa@w yw
rup@a rupa
ętkach@x ętek
axami@x ax
żu ż
eałach@x eał
dżem@e dże
kątom@x kąt
loru@x lor
asiom@x aś
iaci@x iat
łusie@x łus
rba@a rba
rła@o rło
eeni@x een
ezom@x ez
cynach@x cyn
rpie@a rpa
lam@a lama
rków@x rek
iuku@x iuk
lepem@x lep
lle łła
ykl@x ykl
źkom@a źka
uanach@x uan
ęzłów@x ęzeł
isu@x is
zunie@x zun
nów@y ny
rdze@a rga
edlu@x edel
anka@x anek
tukom@x tuk
ukrach@x ukier
psa@x ps
ip@a ipa
ągom@x ąg
ytek@o ytko
óbie@a óba
bzo@a bza
uom@x uum
wiach@e wie
coka@x cok
mptom@x mpt
prów@x per
rnu@x rn
rid@a rida
życie@x żyt
anią@x ań
słowy@w słów
tędze@a tęga
ąkach@x ąk
neżem@x neż
dmach@a dma
aułowie@x auł
cznia@x czeń
ylę@a yla
atami@y aty
ltami@a lta
pędem@x pęd
urgów@x urg
rańcze@x raniec
łdu@x łd
lso@a lsa
zybów@x zyb
otce@a otka
ryfa@x ryf
nga@a nga
leńcy@x leniec
rcach@e rce
puta@x put
ett@o etto
har@x har
mnowi@x mn
lur@x lur
ńko@a ńka
typu@x typ
kilów@x kil
apów@a apa
domami@x dom
eciów@x eć
iumie@x ium
putów@x put
tomom@x tom
eru@x er
atkach@x atek
im i
ąta@x ąt
tusze@a tucha
rgom@o rgo
pisy@x pis
janem@x jan
eidzie@x eid
nnami@a nna
rle@a rla
odorom@x odór
órą@a óra
erca@x erc
rzowie@a rza
yfty@x yft
umfom@x umf
ąkiem@x ąk
tysami@x tys
wisach@x wis
hrzom@x hrz
wymi@y wy
manie@x man
kata@x kat
gosu@x gos
ania@x ań
lty@a lta
ywach@o ywo
oc@x oc
erobie@x erób
hij@a hia
akrów@x akier
mię@a mia
epkom@x epek
baby@x bab
samach@x sam
wowie w
neom@a nea
skim@x ski
habach@x hab
ajkiem@x ajek
ajkiem@x ajk
zków@x zek
ensom@x ens
tlami@x tel
sty@x st
zofowi@x zof
eusy@x eus
biami@e bie
c c
osami@a osa
zg@x zg
uiści@a uista
nszom@x nsz
ęczy@x ęcz
utkowie@x utek
lfty@x lft
rakowi@x rak
izy@x iz
ińca@x iniec
ssnów@x ssen
rąg@x rąg
cyl@x cyl
cusia@x cuś
rpcami@x rpec
visach@x vis
buka@x buk
biemu@a bia
asach@y asy
kslowi@x ksel
mażami@x maż
gur@a gura
musach@x mus
zd@x zd
nodze@a noga
żr@a żra
llu@x ll
eciach@o ecko
ostowi@x ost
nylach@x nyl
odo@a oda
dzcach@x dziec
hną@a hna
exom@x ex
ponów@x pon
zikach@x zik
słami@x sł
suwami@w suw
ukach@a uka
eczach@x ecz
ańcu@x aniec
zędami@x ząd
rogom@x róg
orcem@x orzec
rcom@e rce
orki@x orek
łodowi@x łód
gisami@x gis
ńców@a ńca
farom@x far
alą@a ala
strem@x ster
aikiem@x aik
czych@y czy
lcami@a lca
bytu@x byt
dżami@x dż
ężom ąż
canów@x can
zicem@x zic
oenów@x oen
ułami@a uła
ętkom@x ętek
eskiem@x esek
eskiem@x esk
cowie@a ca
żowie@y ży
iłkach@x iłek
imo@a ima
opkom@x opek
tli@x tel
akiem@x ak
kerów@x ker
essów@x ess
turowi@x tur
ubcem@x ubiec
lasowi@x las
nnach@a nna
żurze@x żur
wdzie@a wda
fik@a fika
wroty@x wrót
dakami@x dak
usach@a usa
tekom@x tek
toli@x tol
erami@y ery
tnym@a tna
zady@x zad
lis@x lis
zdo@a zda
mazem@x maz
ywę@a ywa
niowi@o nio
rąku@x rąk
unta@x unt
tami@x tum
cowie@y cy
padach@x pad
trze@x tr
polach@x pol
nikiem@x nik
ełka@x ełek
raj@x raj
róg@x róg
rtami@a rta
nóg@x nóg
git@x git
pasu@x pas
nałowie@x nał
zir@a zira
atru@x atr
bułom@x buł
ca iec
ramy@x ram
lutami@x lut
iżów@x iż
ążętach@x ążę
bki@x bek
mio@a mia
ącami@o ąco
cem@x ciec
lkami@x lek
wsk@o wsko
ioł@x ioł
ołami@x oł
nklom@x nkiel
lonem@x lon
leyu@y ley
rowie@w rów
eom@x eum
rkowom@w rków
ygód@a ygoda
kajami@x kaj
uszowie@x usz
ęść@x ęść
ofie@a ofa
darach@x dar
lnymi@y lny
jdem@x jd
yz@a yza
padze@a paga
mirowi@x mir
źcom@a źca
owozów@x owóz
mazów@x maz
żkę@a żka
pcyj@a pcja
ążach@a ąża
scami@x siec
gami@a ga
orów ór
psach@x ps
twom@a twa
głów@x gieł
nesami@x nes
umem@x um
źnemu@y źny
oza@x oz
zjo@a zja
łokiem@x łok
pedem@x ped
yszem@x ysz
fek@a fka
zofach@x zof
iury@x iur
lamów@x lam
irach@a ira
dyk@x dyk
wrowi@x wr
elkowi@x elek
kią@a kia
oba ób
żrach@a żra
esi@a esia
cek@x cek
ońkach@x oniek
was@x was
hmach@a hma
syk@x syk
iego@e ie
enci@x ent
tenami@x ten
isnom@x isen
try@a tra
mułowi@x muł
lki@x lek
rnom@a rna
kut@x kut
buzie@x buz
oflami@x ofel
źcem ziec
onogu@x onóg
ionie@x ion
czom@a cza
fonami@x fon
wały@x wał
blem@x bel
daw@a dawa
nkiem@x nek
owozu@x owóz
ciki@x cik
laka@x lak
rdku@x rdek
sonie@x son
bułów@x buł
ganami@x gan
keny@x ken
rusów@x rus
ausów@x aus
kenom@x ken
ywkach@x ywek
wiń@a winia
ęgu ąg
owia ów
kerach@x ker
alami@x al
nes@x nes
renom@x ren
upcu@x upiec
rkowie@x rek
hów@w hów
ganu@x gan
lkiem@x lek
dły@y dły
yli@x yl
brze@a bra
mst@a msta
olo@a ola
żelu@x żel
ółom@x ół
tmy@x tm
ama@a ama
łuków@x łuk
ry@a ra
grach@x gier
argami@x arg
rorami@x ror
se@e se
cowi iec
flu@x fel
łu ł
basem@x bas
nkowie@x nek
klo@a kla
arp@a arpa
per@a pera
koków@x kok
ns@a nsa
aszom@x asz
zebami@x zeb
ieł ła
tafu@x taf
niom ń
itach@x it
sal@x sal
ekom@x ek
latach@x lat
ębiach ąb
etami@a eta
stem@o sto
ont@x ont
uskiem@x usek
ziowie@o zio
eryj@a eria
pędy@x pęd
edami@o edo
zur@a zura
iwu@x iwus
spy@a spa
mki@x mek
ywie@a ywa
watem@x wat
ryci@x ryt
oltach@x olt
guście@x gust
eściami@x eść
jdo@a jda
ligom@x lig
owców@x owiec
lasami@x las
ózkach@x ózek
tuka@x tuk
curem@x cur
rana@x ran
ubom@x ub
tm@a tma
ypkami@x ypek
tanie@x tan
cze@x cz
tkach@a tka
zęg@x zęg
iet@a ieta
iusi@x ius
yntowi@x ynt
ferem@x fer
omek@a omka
ecę@a eca
ejkach@x ejek
lic@a lica
kał@x kał
frze@x fer
adra@x ader
eusowi@x eus
ydy@x yd
pu@x pu
towie t
enkami@x enek
ani@x an
aelach@x ael
undowi@x und
echowi@x ech
takiem@x tak
zanach@x zan
gnom@o gno
erkiem@x erek
ami e
iurowi@x iur
ch@x ch
lorach@x lor
rżom@a rża
teście@x test
pelem@x pel
kajów@x kaj
dne@a dna
rnami@o rno
tetów@x tet
ołu@x oł
owcami@x owiec
re'ami@e re
tatem@x tat
zędom@x ząd
bice@x bic
liście@a lista
oid@a oida
anem@o ano
rota@x rot
ęgach@x ęg
lopach@x lop
eńcami@x eniec
ygach@a yga
uerach@x uer
wan@a wana
wiźnie@a wizna
worami@x wór
lusy@x lus
aro@o aro
tajach@x taj
jn@x jn
zo@a za
raków@x rak
odniom@x odzień
dzi@a dzia
cusiami@x cuś
tru@x tr
ipami@a ipa
dniów@x dzień
outom@x out
uno@a una
fka@x fek
ręk@a ręka
umfów@x umf
caku@x cak
yfowi@x yf
eyowi@y ey
ino@o ino
dul@a dula
ito@o ito
dycie@a dyta
anami@a ana
iwcy@x iwiec
wcem@x wiec
awo@a awa
mkach@o mko
gotowi@x got
fag@x fag
cicu@x cic
awku@x awek
nksy@x nks
adzie@a ada
lakom@x lak
mnów@x mn
skom@o sko
flom@a fla
jawami@w jaw
zefowi@x zef
ausy@x aus
ubą@a uba
ndrom@x nder
izmie@x izm
ess@x ess
ewowie@w ew
bkiem@x bek
izami@a iza
ywami@a ywa
ajmu@x ajem
rys@a rysa
tio@a tia
dejów@x dej
nel@x nel
ruzów@x ruz
up@a upa
binami@x bin
rom r
dw@a dwa
ćków ciek
iami i
cinów@x cin
trków@x trek
gach@o go
lo@a la
derzy@x der
iej@x iej
gogami@x gog
krami@x kier
eckami@x ecek
wiom ew
motów@x mot
ęźniów@x ęzień
boku@x bok
jadu@x jad
fali@x fal
zińców@x ziniec
wołów@x wół
rkami@x rek
yć@e ycie
ewkowi@x ewek
órach@x ór
wlę@a wla
osie@o oso
watów@x wat
ąsowi@x ąs
taże@x taż
jnogom@x jnóg
serach@x ser
rydzie@x ryd
f f
ygle@x ygiel
ązkami@x ązek
łopem@x łop
ropów@x rop
jcz@x jcz
odziami ódź
zutowi@x zut
bałach@x bał
rce@e rce
rnku@x rnek
zelowi@x zel
radowie@x rad
asach@a asa
uzach@a uza
noc@x noc
dydze@a dyga
ysa@x ys
buzom@x buz
melom@x mel
łosy@x łos
zajem@x zaj
piku@x pik
jad@x jad
ijów@x ij
lek@a lka
deli@x del
ty@y ty
licie@x lit
owie a
reka@x rek
rykowi@x ryk
ońcom@x oniec
etków@x etek
ian@a iana
herów@x her
oska@x osek
zów@e ze
fty@x ft
czowie@x cz
htach@a hta
zofami@x zof
sto@a sta
zonów@x zon
dekiem@x dek
cin@x cin
teziu@x teź
ref@a refa
zań@e zanie
utkach@x utek
ejcie@x ejt
wojach@x wój
endze@a enga
sycy@x syk
uarze@x uar
ydeł@o ydło
urnu@x urn
blęta@x blę
owemu@e owe
urty@x urt
orogom@x oróg
bety@x bet
satom@x sat
gów@x gi
lecie@x let
tto@o tto
tunów@x tun
aun@a auna
entów@x ent
goga@x gog
aelami@x ael
ebowie@x eb
arami@y ary
ułków@x ułek
ylom@a yla
bowie b
satów@x sat
vera@x ver
czków@x czek
dwach@a dwa
dona@x don
koś@x koś
nasom@x nas
osiowi@x oś
ustom@x ust
typach@x typ
łody@x łód
tomach@x tom
chom ech
garów@x gar
łłom@a łła
borami@x bór
jemom@x jem
iany@x ian
ga@o go
oldem@x old
tka@x tek
zopami@x zop
wałem@x wał
ucie@a uta
oko@o oko
ulcem@x ulec
jani@x jan
uidami@x uid
tisu@x tis
usiów@x uś
rnom@x rn
łowiami@w łów
epcom@x epiec
casy@x cas
henie@x hen
min@x min
nału@x nał
orogowi@x oróg
onach ę
iądy@x iąd
iel@a iela
sań@e sanie
erń@x erń
turem@x tur
ktą@a kta
eżkami@x eżek
eldami@x eld
strach@x ster
usk@x usk
ót@x ót
ało@o ało
iska@x isek
iwkami@x iwek
eenom@x een
nażami@x naż
blów@x bel
pskiem@x psk
zgi@a zga
laki@x lak
auzami@x auz
tepach@x tep
uma@a uma
mzą@a mza
ofy@x of
azę@a aza
llo@a lla
uwu@w uw
zoniu@x zoń
ułce@a ułka
al@x al
dykach@x dyk
ekach@o eko
ersie@x ers
rczem@x rcz
ząt@x zę
ulku@x ulek
orami@a ora
isach@x is
giów@o gio
jum@x jum
żejem@x żej
tti@x tti
finów@x fin
umfowi@x umf
derom@x der
twom@o two
ywie@o ywo
upem@x up
glami@x giel
omkom@x omek
lip@x lip
yrą@a yra
gacie@x gat
sol@a sola
śkach@a śka
obojów@x obój
ansy@x ans
mka@o mko
koły@x kół
wig@x wig
ujce@a ujka
esu@x es
ąt ę
pory@x pór
pory@x por
baków@x bak
urgach@x urg
zus@x zus
nio@a nia
ailami@x ail
zoty@x zot
nięciem@x nię
kopach@x kop
łk@x łk
jom@x jum
iasowi@x ias
lony@x lon
dio@o dio
gum@a guma
akami@o ako
trzami@x trz
n n
kanu@x kan
hały@x hał
usom@y usy
ławie@w ław
nklami@x nkiel
rębom@x ręb
źniom@x źń
tułach@x tuł
bałom@x bał
żne@a żna
rlach@x rl
oci@x oć
oci@x ot
gołów@x goł
ysu@x ys
widach@x wid
szcie@x szt
mbie@x mb
bolem@x bol
tosiem@x toś
zętom@x zę
anu@x an
iro@a ira
ornowi@x orn
łodach@x łód
ustowi@x ust
itami@o ito
wia@a wia
erowi@x er
bach@o bo
ęzach@y ęzy
ubowi@x ub
wozom@x wóz
dał@x dał
scach@x siec
rklowi@x rkiel
turom@x tur
itrów@x itr
susy@x sus
lesi@x les
duli@a duła
cków@x ck
cków@x cek
giom@a gia
kerze@x ker
jnogów@x jnóg
iące@x iąc
itrem@x itr
żowie@a ża
zeku@x zek
słowom@w słów
ain@a aina
wu w
ytkiem@x ytek
lejem@x lej
dlami@e dle
uskowi@x usek
iego@a ia
liżu@x liż
cu iec
cynowi@x cyn
zetach@x zet
otrzy@x oter
otrzy@x otr
zlą@a zla
lbrze@x lber
ir@a ira
ago@o ago
ad@o ado
iglami@x igiel
solom@x sol
ziego@a zia
rgli@x rgiel
dusowi@x dus
tydami@x tyd
rcom@a rca
urgiem@x urg
tany@x tan
dca@x dec
iei@x iej
się@x się
oldowi@x old
azom@x az
ypa@a ypa
ick@x ick
riach@a ria
ecem@x ec
ciu ć
yń@e ynie
mami@y my
zorze@x zor
oła@a oła
gi@x gi
fatach@x fat
rel@a rela
erymi@y ery
toś@x toś
fenach@x fen
rkom@o rko
azkiem@x azek
mnach@o mno
panach@x pan
sanie@x san
oja@a oja
lgą@a lga
eże@e eże
hurem@x hur
iszem@x isz
nikowi@x nik
texu@x tex
pędami@x pęd
delem@x del
ieżach@x ież
dzu@x dz
casach@x cas
wiecie@x wiat
ttami@o tto
ortom@x ort
ebek@a ebka
za@a za
olach@o olo
ucz@a ucza
ace a
śni sień
okołem@x okół
rupowi@x rup
unom@x un
ożcowi@x ożec
enów@x en
sikach@x sik
óba@x ób
tmu@x tm
drkami@x drek
wozu@x wóz
itrze@x itr
asowi@x as
rapowi@x rap
ugo@a uga
ącu@o ąco
zeci@x zeć
ity@a ita
dymi@y dy
izach@x iz
gutowi@x gut
mol@x mol
ewie@a ewa
luk@x luk
ilmach@x ilm
azd@a azda
ankiem@x anek
rkowie@w rków
ktami@a kta
zeńcze@x zeniec
ecie@x et
tynowie@x tyn
ozyj@a ozja
netach@x net
aun@x aun
karowi@x kar
ysz@x ysz
mażu@x maż
teniek@a teńka
ercią@x erć
oisie@x ois
wońce@x woniec
lexu@x lex
onom ę
sonami@x son
arów@y ary
odory@x odór
argiem@x arg
afo@a afa
sasu@x sas
kały@x kał
zowie@w zów
nklu@x nkiel
tkowi@x tek
ntami@a nta
pek@x pek
lusem@x lus
fax@x fax
ysi@x ys
ieł@o ieło
deł@o dło
łąbom@x łąb
yprem@x yper
rydach@x ryd
kusie@x kus
ztów@a zta
ceńca@x ceniec
rolów@x rol
lsnami@x lsen
rabu@x rab
anków@x anek
syni@x syn
anżów@x anż
modze@a moga
orach@x or
yblom@x ybel
tnia cień
et@x et
iz@a iza
iurów@x iur
ożach@a oża
erom@a era
itą@a ita
eerem@x eer
ewry@x ewr
bili@x bil
ypek@a ypka
tanią@x tań
ybom@x yb
urki@x urek
zaj@x zaj
meci@x met
iani@x ian
onach@x on
kcia@x kieć
socie@a sota
wąsie@x wąs
ysłem@x ysł
upek@a upka
ersi@x ers
bło@o bło
nktami@x nkt
pr@x pr
redom@x red
oenie@x oen
cie t
dia@x dium
saka@x sak
zja@a zja
worach@x wór
ci@x ciwość
nię@a nia
vach@x vum
norzy@x nor
upku@x upek
nemie@x nem
bonom@x bon
rekach@x rek
iół@x iół
pule@a puła
nnych@e nne
ndami@y ndy
ypra@x yper
tosów@x tos
nażem@x naż
wabom@x wab
zmy@a zma
ad@x ad
umkowi@x umek
puł@a puła
ybo@a yba
ula@a ula
durami@x dur
itów@a ita
zęgami@x zęg
tli@e tle
dosa@x dos
zęgom@x zęg
ątem@x ąt
ierowie@x ier
idzami@x idz
ywowi@w yw
nne@e nne
hajom@x haj
dżku@x dżek
akty@x akt
rop@x rop
zocie@a zota
ingi@x ing
dem@o do
wemu@e we
yg@a yga
inta@x int
bokami@x bok
odach@y ody
eso@a esa
iażom@x iaż
inom@x in
cińcowi@x ciniec
ławowie@w ław
htrowie@x hter
hydu@x hyd
tków@x tek
imkami@x imek
pułami@x puł
ądkom@x ądek
jlami@x jl
bisie@x bis
yrom@x yr
trami@o tro
etami@y ety
gory@x gor
worem@x wór
łąki@x łąk
bułowi@x buł
żeju@x żej
ołem@o oło
uż@x uż
owki@x owek
lowie@o lo
tysie@x tys
dżkom@x dżek
rynowi@x ryn
rz@a rza
żmom@o żmo
lotu@x lot
rbkami@x rbek
celami@x cel
mężem@x mąż
kar@x kar
zki@x zek
elę@a ela
pić@e picie
iukom@x iuk
łżu@x łż
ocami@a oca
tycie@x tyt
cji@e cje
dkom@a dka
ssie@a ssa
zowami@w zów
rokiem@x rok
cko@o cko
lfami@x lf
opnia@x opień
rwiami@w rew
gicy@x gik
capach@x cap
ymie@a yma
re'y@e re
zekach@x zek
dżów@a dża
ngom@x ng
wiom@x wium
azowi@x az
genu@x gen
zędem@x ząd
czeni@y czony
barowi@x bar
dyzami@x dyz
ynach@x yn
dże@e dże
uktach@x ukt
zdek@a zdka
ołom ół
aimowi@x aim
fkom@a fka
barów@x bar
wiach@a wia
cyk@x cyk
dynach@x dyn
zotom@x zot
jsy@x js
lusami@x lus
zniach@x zeń
upniowi@x upień
blęcia@x blę
eksie@x eks
tikom@x tik
gucie@x gut
ech@a echa
orfach@x orf
cerów@x cer
fory@x for
biąt@x bię
żetami@x żet
mer@a mera
ure'ami@e ure
nesu@x nes
źmi zie
pery@x per
cha@a cha
lopom@x lop
zumami@x zum
żyn@a żyna
iamie@x iam
htom@a hta
yka@a yka
ólami@x ól
ine@e ine
eży@e eże
hom@a ha
tańce@x taniec
cyle@x cyl
dmę@a dma
życe@x życ
ęgą@a ęga
sicy@x sik
zwom@a zwa
iłka@x iłek
zwodami@x zwód
melów@x mel
manów@x man
ani@y any
sc@e sce
efa@x ef
dźcy@x dziec
erom@o ero
mnie@a mna
rukom@x ruk
eju@x ej
rogach@x róg
ńcą@a ńca
eżu@x eż
lmowie@x lm
jerom@x jer
lmowi@x lm
mfami@a mfa
nigiem@x nig
żę@x żę
oku@o oko
renami@x ren
uciom@x uć
let@x let
dni@a dnia
żytom@x żyt
len@a lena
ćmi ć
ewodów@x ewód
ekty@x ekt
zunom@x zun
berom@x ber
wojów@x wój
otkiem@x otek
merowi@x mer
fie@a fia
ockach@x ock
ętach@x ęt
hen@x hen
ńcami niec
łąkach@x łąk
lchom@x lch
zuć@e zucie
lagi@x lag
czętach@x czę
eczu@x ecz
llem@o llo
cht@a chta
nnemu@y nny
sorzy@x sor
topu@x top
nogami@x nóg
bes@x bes
ektach@x ekt
nusy@x nus
izyj@a izja
tala@x tal
ory@y ory
aty@x at
ładu@x ład
wy@a wa
ębi@e ębie
zkiem@x zek
aru@x ar
ifowi@x if
latem@x lat
enę@a ena
jcę@a jca
jotom@x jot
dinami@x din
ożkowi@x ożek
witach@x wit
nigowi@x nig
ęgo@a ęga
topa@x top
wrami@a wra
demu@x dem
cka@x cek
iewi@w iew
banów@x ban
iomów@x iom
geach@a gea
oryj@a oria
wit@a wita
ann@a anna
ejków@x ejek
emu@x em
iekowi@x iek
ydle@o ydło
nia@x nium
notem@x not
urmu@x urm
jaw@w jaw
yprami@x yper
bz@a bza
lotami@x lot
tali@x tal
busów@x bus
adę@a ada
ianu@x ian
ailów@x ail
ttcie@o tto
ciom@e cie
bidu@x bid
żeniem@x żeń
ąsem@x ąs
kokom@x kok
siętach@x się
murem@x mur
iusiowi@x iuś
fy@a fa
ągów@x ąg
hurów@x hur
rańcami@x raniec
orce@x orzec
oba@a oba
don@a dona
ilom@x il
ustu@x ust
lesiach@x leś
jby@a jba
sia ś
irtach@x irt
fą@a fa
rozu@x róz
pij@a pia
piec@e pce
hik@a hika
murowi@x mur
rzemu@y rzy
ypków@x ypek
śka@a śka
uom@a ua
pca@a pca
aru@o aro
esiu@x eś
uwie@a uwa
ichami@x ich
ałków@x ałek
losami@x los
kopy@x kop
mach@x mum
óża@e óże
urów@x ur
łunom@x łun
rdę@a rda
tamach@x tam
ołach ół
sek@a ska
drom@o dro
ola@o olo
airowi@x air
uś@x uś
minów@x min
upcach@x upiec
wami@y wy
orek@a orka
dze@x dz
ieg@x ieg
ar@o aro
duki@x duk
ułą@a uła
almowi@x alm
ypiec@e ypce
morom@x mor
zbą@a zba
hiru@x hir
bańcami@x baniec
rek@a rka
konie@x kon
orowie@x or
gałami@x gał
arach@x ar
koniem@x koń
iakach@x iak
szcach@x szec
odek@a odka
sztach@x szt
uru@x ur
kara@x kar
rozów@x róz
rnkach@x rnek
tiz@x tiz
twcze@x twiec
żcem@x żec
siowi@o sio
żnymi@y żny
irom@a ira
tle@o tło
sze cha
ancie@x ant
